algo,blocklist_name,enhancement,creation_time,creation_mem,test_1_short_time,test_1_short_mem,test_2_medium_time,test_2_medium_mem,test_3_long_time,test_3_long_mem
WM,100,radical_pinyin,0.09000015258789062,0.0,0.13299846649169922,0.0,0.3549997806549072,0.0,1.75600004196167,0.0078125
BruteForce,1k,naive,0.0029973983764648438,0.0,0.7749979496002197,0.0,1.5860011577606201,0.0,3.4329981803894043,0.0
BruteForce,1k,radical,0.032000064849853516,0.0,4.596999168395996,0.0,15.592998266220093,0.0,61.166001319885254,0.01953125
Native,1k,naive,0.0029997825622558594,0.0,0.005999565124511719,0.0,0.006997585296630859,0.0,0.006999015808105469,0.0
Native,1k,radical,0.033002376556396484,0.0,0.024000167846679688,0.0,0.03699994087219238,0.0,0.06599783897399902,0.0
AC,1k,naive,0.23000025749206543,0.49609375,0.006999969482421875,0.0,0.009999752044677734,0.0,0.0169985294342041,0.0
AC,1k,radical,0.2259995937347412,4.8359375,0.024000167846679688,0.00390625,0.06799960136413574,0.0,0.24400067329406738,-0.7578125
WM,1k,naive,0.02200007438659668,0.10546875,0.010999679565429688,0.0,0.017999887466430664,0.00390625,0.03699970245361328,0.00390625
WM,1k,radical,0.05000019073486328,0.04296875,0.048999786376953125,0.0,0.1549990177154541,0.0,0.5630009174346924,0.2578125
BruteForce,10k,naive,0.0030002593994140625,0.0,7.799999952316284,0.0,15.785001039505005,0.0,34.37999868392944,-0.01953125
BruteForce,10k,radical,0.29599881172180176,0.03515625,47.21399807929993,0.0,221.7290003299713,0.0,714.1809995174408,0.0
Native,10k,naive,0.003002166748046875,0.0,0.03300023078918457,0.0,0.03300046920776367,0.0,0.03500056266784668,0.0
Native,10k,radical,0.29599857330322266,0.0,0.180999755859375,0.0,0.42599964141845703,0.0,0.6760008335113525,0.0
AC,10k,naive,1.9670007228851318,38.72265625,0.0069980621337890625,0.00390625,0.01100015640258789,0.00390625,0.01900029182434082,0.00390625
AC,10k,radical,2.1409997940063477,45.97265625,0.03200054168701172,0.0078125,0.10099983215332031,0.0,0.2969992160797119,0.01171875
WM,10k,naive,0.1849985122680664,0.68359375,0.03599810600280762,0.015625,0.07800006866455078,0.00390625,0.15000033378601074,0.0
WM,10k,radical,0.43900156021118164,0.81640625,0.1979999542236328,0.0,1.0440001487731934,0.0,3.076000213623047,0.0
BruteForce,full,naive,0.004997968673706055,0.0,41.67700004577637,0.0,84.6949999332428,0.0,181.17700004577637,0.01171875
Native,full,naive,0.003000020980834961,0.0,0.15700125694274902,0.0,0.15800237655639648,0.0,0.1679997444152832,0.0
AC,full,naive,10.003999948501587,202.4921875,0.013000249862670898,0.0,0.015997886657714844,0.0,0.02499985694885254,0.0
WM,full,naive,0.9800024032592773,4.45703125,0.15600013732910156,0.03125,0.371002197265625,0.1015625,0.7039999961853027,0.0390625
BruteForce,wm,naive,0.003999948501586914,0.0,9.18199896812439,0.0,18.088998556137085,0.0,38.9660120010376,0.0
BruteForce,wm,radical,0.32898831367492676,0.09765625,54.64699959754944,0.2109375,255.5060031414032,0.015625,817.5399990081787,-0.015625
Native,wm,naive,0.0029997825622558594,0.0,0.03799939155578613,0.0,0.03899884223937988,0.0,0.04300427436828613,0.0
Native,wm,radical,0.3339996337890625,0.03515625,0.2070000171661377,0.0,0.4850013256072998,0.0,0.7810003757476807,0.0078125
AC,wm,naive,1.139000415802002,15.40234375,0.006000518798828125,0.00390625,0.010000228881835938,0.0,0.01899862289428711,0.0
AC,wm,radical,1.4840002059936523,26.98046875,0.030999183654785156,0.01171875,0.10400032997131348,0.0,0.3119981288909912,0.04296875
WM,wm,naive,0.21400189399719238,1.1015625,0.05399823188781738,0.01953125,0.11900019645690918,0.0078125,0.22999811172485352,0.00390625
WM,wm,radical,0.5100033283233643,1.4375,0.3120005130767822,0.0,1.563999891281128,0.0,4.611999988555908,0.0
